,Category
0,Sandwiches
1,Bakeries
2,Chinese
3,Caribbean
4,Pizza
5,Mediterranean
6,Greek
7,Italian
8,Southern
9,Mexican
10,Tex-Mex
11,Fast Food
12,Latin American
13,Tapas Bars
14,American (New)
15,Barbeque
16,Burgers
17,Vietnamese
18,Steakhouses
19,Pubs
20,American (Traditional)
21,Japanese
22,Specialty Food
23,Thai
24,Sushi Bars
25,Middle Eastern
26,Korean
27,Soul Food
28,Delis
29,Chicken Wings
30,Tacos
31,Indian
32,Vegetarian
33,Seafood
34,Hot Dogs
35,Cafes
36,Asian Fusion
37,Comfort Food
38,Vegan
39,Breakfast & Brunch
40,Food Trucks
41,Cajun/Creole
42,Salad
43,Diners
44,French
45,Soup
46,Tapas/Small Plates
47,Gastropubs
48,Chicken Shop
